DRUG_CODE,DESCRIPTION
d232.,*LEXOTAN 3mg tablets
d23y.,*BROMAZEPAM 1.5mg tablets
d23z.,*BROMAZEPAM 3mg tablets
d24..,CHLORDIAZEPOXIDE
d241.,CHLORDIAZEPOXIDE 5mg capsules
d242.,CHLORDIAZEPOXIDE 10mg capsules
d243.,CHLORDIAZEPOXIDE HYDROCHLORIDE 5mg tablets
d244.,CHLORDIAZEPOXIDE HYDROCHLORIDE 10mg tablets
d245.,CHLORDIAZEPOXIDE HYDROCHLORIDE 25mg tablets
d246.,*CHLORDIAZEPOXIDE 5mg tablets
d247.,*CHLORDIAZEPOXIDE 10mg tablets
d248.,*CHLORDIAZEPOXIDE 25mg tablets
d249.,LIBRIUM 5mg capsules
d24a.,LIBRIUM 10mg capsules
d24b.,*LIBRIUM 5mg tablets
d24c.,*LIBRIUM 10mg tablets
d24d.,*LIBRIUM 25mg tablets
d24e.,*LIBRIUM 100mg injection
d24f.,TROPIUM 5mg capsules
d24g.,*TROPIUM 10mg capsules
d24h.,TROPIUM 5mg tablets
d24i.,TROPIUM 10mg tablets
d24j.,*TROPIUM 25mg tablets
d25..,CHLORMEZANONE
d251.,*TRANCOPAL 200mg tablets
d25z.,*CHLORMEZANONE 200mg tablets
d26..,CLOBAZAM
d261.,*CLOBAZAM 10mg capsules
d262.,*FRISIUM 10mg capsules
d263.,CLOBAZAM 10mg tablets
d264.,FRISIUM 10mg tablets
d265.,TAPCLOB 5mg/5mL oral suspension
d266.,CLOBAZAM 5mg/5mL oral suspension
d267.,TAPCLOB 10mg/5mL oral suspension
d268.,CLOBAZAM 10mg/5mL oral suspension
d269.,PERIZAM 1mg/mL oral suspension
d26A.,PERIZAM 2mg/mL oral suspension
d27..,CLORAZEPATE DIPOTASSIUM
d271.,*TRANXENE 7.5mg capsules
d272.,*TRANXENE 15mg capsules
d27y.,CLORAZEPATE DIPOTASSIUM 7.5mg capsules
d27z.,CLORAZEPATE DIPOTASSIUM 15mg capsules
d28..,HYDROXYZINE HCL [ANXIOLYTIC]
d281.,ATARAX 10mg tablets
d282.,ATARAX 25mg tablets
d283.,*ATARAX 10mg/5mL syrup
d284.,UCERAX 25mg tablets
d285.,UCERAX 10mg/5mL syrup
d28x.,HYDROXYZINE HCL 10mg tablets
d28y.,HYDROXYZINE HCL 25mg tablets
d28z.,HYDROXYZINE HCL 10mg/5mL syrup
d29..,*KETAZOLAM
d291.,*ANXON 15mg capsules
d292.,*ANXON 30mg capsules
d29y.,*KETAZOLAM 15mg capsules
d29z.,*KETAZOLAM 30mg capsules
d2a..,LORAZEPAM [ANXIOLYTIC]
d2a1.,LORAZEPAM 1mg tablets
d2a2.,LORAZEPAM 2.5mg tablets
d2a3.,*ALMAZINE 1mg tablets
d2a4.,*ALMAZINE 2.5mg tablets
d2a5.,*ATIVAN 1mg tablets
d2a6.,*ATIVAN 2.5mg tablets
d2a7.,ATIVAN 4mg/1mL injection
d2ax.,*ATIVAN 4mg/mL injection
d2az.,LORAZEPAM 4mg/1mL injection
d2b..,*MEDAZEPAM
d2b1.,*NOBRIUM 5mg capsules
d2b2.,*NOBRIUM 10mg capsules
d2by.,*MEDAZEPAM 5mg capsules
d2bz.,*MEDAZEPAM 10mg capsules
d2c..,MEPROBAMATE
d2c1.,*MEPROBAMATE 200mg tablets
d2c2.,MEPROBAMATE 400mg tablets
d2c3.,*EQUANIL 200mg tablets
d2c4.,*EQUANIL 400mg tablets
d2c5.,MEPRATE 400mg tablets
d2c6.,*TENAVOID tablets
d2d..,OXAZEPAM
d2d1.,*OXAZEPAM 30mg capsules
d2d2.,OXAZEPAM 10mg tablets
d2d3.,OXAZEPAM 15mg tablets
d2d4.,OXAZEPAM 30mg tablets
d2d5.,*OXANID 10mg tablets
d2d6.,*OXANID 15mg tablets
d2d7.,*OXANID 30mg tablets
d2e..,*PRAZEPAM
d2e1.,*CENTRAX 10mg tablets
d2ez.,*PRAZEPAM 10mg tablets
d2f..,BUSPIRONE HYDROCHLORIDE
d2f1.,BUSPIRONE 5mg tablets
d2f2.,*BUSPAR 5mg tablets
d2f3.,*BUSPAR 5mg tablets x126
d2f4.,*BUSPAR 10mg tablets
d2f5.,BUSPIRONE 10mg tablets
d2g..,FLUMAZENIL
d2g1.,FLUMAZENIL 500microgram/5mL injection
d2g2.,ANEXATE 500micrograms/5mL injection
d2g2.,ANEXATE 500micrograms/5mL injection
