DRUG_CODE,DESCRIPTION
m442.,ALPHADERM cream 100g
m443.,CALMURID-HC cream 30g
m443.,*CALMURID-HC cream 30g
m444.,CALMURID-HC cream 100g
m444.,*CALMURID-HC cream 100g
m445.,*ECZEDERM+HYDROCORT cream 25g
m446.,*EPIFOAM foam 10.6g
m447.,EURAX-HYDROCORTISONE cream 30g
m448.,*SENTIAL cream 30g
m449.,*SENTIAL cream 100g
m44a.,*TRI-CICATRIN ointment 15g
m44b.,*TRI-CICATRIN ointment 30g
m44c.,EURAX-HC cream 15g
m44d.,*CALMURID HC cream 50g
m44e.,HYDROMOL HC INTENSIVE cream 30g
m44e.,HYDROMOL HC INTENSIVE cream 30g
m44f.,HYDROMOL HC INTENSIVE cream 100g
m44f.,HYDROMOL HC INTENSIVE cream 100g
m44z.,HYDROCORTISONE+UREA 1.0%/10% cream
m45..,HYDROCORTISONE+ANTIMICROBIALS
m451.,*HYDROCORTISONE/NEOMYCIN cream
m452.,*BARQUINOL-HC cream 15g
m453.,CANESTEN-HC cream 30g
m454.,DAKTACORT cream 30g
m455.,*ECONACORT cream 30g
m456.,*FRAMYCORT ointment 15g
m457.,*FUCIDIN-H cream 15g
m458.,FUCIDIN-H cream 30g
m459.,*FUCIDIN-H gel 15g
m45A.,FUCIDIN-H cream 60g
m45B.,*FUCIDIN-H ointment 60g
m45C.,DAKTACORT HC cream 15g
m45T.,HYDROCORTISONE ACETATE+FUSIDIC ACID 1%/2% ointment
m45V.,HYDROCORTISONE ACETATE+FUSIDIC ACID 1%/2% cream
m45W.,HYDROCORTISONE+ECONAZOLE NITRATE 1%/1% cream
m45X.,HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% ointment
m45Y.,HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% cream
m45Z.,HYDROCORTISONE+CLOTRIMAZOLE 1%/1% cream
m45a.,*FUCIDIN-H gel 30g
m45b.,*FUCIDIN-H ointment 15g
m45c.,*FUCIDIN-H ointment 30g
m45d.,*GENTISONE HC cream 15g
m45e.,*GENTISONE HC ointment 15g
m45f.,*GREGODERM ointment 4g
m45g.,*GREGODERM ointment 15g
m45h.,*HYDRODERM ointment
m45i.,*NYBADEX ointment
m45j.,*NYSTAFORM-HC 0.5% cream 15g
m45k.,NYSTAFORM-HC 0.5% cream 30g
m45l.,NYSTAFORM-HC 1% ointment 30g
m45m.,*QUINOCORT cream 30g
m45n.,*TERRA-CORTRIL ointment 15g
m45o.,TERRA-CORTRIL ointment 30g
m45p.,*TERRA-CORTRIL spray 30mL
m45q.,*TERRA-CORTRIL spray 60mL
m45r.,TERRA-CORTRIL NYSTATIN cream 30g
m45s.,TIMODINE cream 30g
m45t.,VIOFORM-HYDROCORTISONE cream 30g
m45u.,VIOFORM-HYDROCORTISONE ointment 30g
m45v.,DAKTACORT ointment 30g
m45w.,CANESTEN HYDROCORTISONE cream 15g
m45x.,HYDROCORTISONE+NEOMYCIN 1%/0.5% ointment
m45y.,HYDROCORTISONE+NEOMYCIN 1%/0.5% cream
m46..,ALCLOMETASONE DIPROPIONATE
m461.,*MODRASONE 0.05% cream 15g
m462.,MODRASONE 0.05% cream 50g
m463.,*MODRASONE 0.05% ointment 15g
m464.,*MODRASONE 0.05% ointment 50g
m46y.,ALCLOMETASONE DIPROPIONATE 0.05% cream
m46z.,ALCLOMETASONE DIPROPIONATE 0.05% ointment
m47..,BECLOMETASONE DIPROP [SKIN]
m471.,*PROPADERM 0.025% cream 15g
m472.,*PROPADERM 0.025% cream 50g
m473.,*PROPADERM 0.025% ointment 15g
m474.,*PROPADERM 0.025% ointment 50g
m475.,PROPADERM A 0.025% ointment 15g
m476.,PROPADERM A 0.025% ointment 50g
m477.,*PROPADERM C 0.025% cream
m478.,*PROPADERM C 0.025% ointment
m479.,*PROPADERM 0.025% cream 30g
m47a.,*PROPADERM 0.025% ointment 30g
m47b.,*PROPADERM A ointment 30g
m47c.,*PROPADERM A cream 30g
m47y.,*BECLOMETASONE 0.025% cream
m47z.,*BECLOMETASONE 0.025% ointment
m48..,BETAMETHASONE ESTERS
m481.,*BETNOVATE 0.1% cream 15g
m482.,BETNOVATE 0.1% cream 30g
m483.,BETNOVATE 0.1% cream 100g
m484.,*BETNOVATE 0.1% ointment 15g
m485.,BETNOVATE 0.1% ointment 30g
m486.,BETNOVATE 0.1% ointment 100g
m487.,BETNOVATE 0.1% lotion 100mL
m488.,BETNOVATE 0.1% scalp application 30mL
m489.,BETNOVATE 0.1% scalp application 100mL
m48A.,BETACAP scalp application
m48B.,BETAMETHASONE VALERATE 0.12% foam
m48C.,BETTAMOUSSE 0.12% foam 100g
m48D.,BETESIL 2.25mg medicated plasters
m48E.,BETAMETHASONE VALERATE 2.25mg medicated plasters
m48F.,AUDAVATE RD 0.025% cream 100g
m48G.,AUDAVATE RD 0.025% ointment 100g
m48a.,BETNOVATE RD 0.025% cream 100g
m48b.,BETNOVATE RD 0.025% ointment 100g
m48c.,DIPROSALIC 0.05% ointment 30g
m48d.,DIPROSALIC 0.05% ointment 100g
m48e.,DIPROSALIC 0.05% scalp application 30mL
m48f.,DIPROSALIC 0.05% scalp application 100mL
m48g.,DIPROSONE 0.05% cream 30g
m48h.,DIPROSONE 0.05% cream 100g
m48i.,DIPROSONE 0.05% ointment 30g
m48j.,DIPROSONE 0.05% ointment 100g
m48k.,DIPROSONE 0.05% lotion 30mL
m48l.,DIPROSONE 0.05% lotion 100mL
m48m.,BETAMETHASONE 0.025% cream
m48n.,BETAMETHASONE 0.025% ointment
m48o.,BETAMETHASONE 0.1% scalp application
m48p.,BETNOVATE 0.1% pump cream 100g
m48q.,BETAMETHASONE 0.1% cream
m48r.,BETAMETHASONE 0.1% ointment
m48s.,BETAMETHASONE 0.1% lotion
m48t.,BETNOVATE 0.1% pump ointment 100g
m48z.,VIPSOGAL ointment
m49..,BETAMETHASONE + ANTIMICROBIALS
m491.,*BETNOVATE C 0.1% cream 15g
m492.,BETNOVATE-C 0.1% cream 30g
m492.,*BETNOVATE-C 0.1% cream 30g
m493.,*BETNOVATE C 0.1% ointment 15g
m494.,*BETNOVATE-C 0.1% ointment 30g
m494.,BETNOVATE-C 0.1% ointment 30g
m495.,*BETNOVATE N 0.1% cream 15g
m496.,*BETNOVATE-N 0.1% cream 30g
m496.,BETNOVATE-N 0.1% cream 30g
m497.,BETNOVATE-N 0.1% cream 100g
m497.,*BETNOVATE-N 0.1% cream 100g
m498.,*BETNOVATE N 0.1% ointment 15g
m499.,*BETNOVATE-N 0.1% ointment 30g
m499.,BETNOVATE-N 0.1% ointment 30g
m49a.,BETNOVATE-N 0.1% ointment 100g
m49a.,BETNOVATE-N 0.1% ointment 100g
m49b.,*BETNOVATE-N 0.1% lotion
m49c.,*FUCIBET cream 15g
m49d.,FUCIBET cream 30g
m49e.,FUCIBET cream 60g
m49f.,FUCIBET LIPID cream 30g
m49r.,BETAMETHASONE+NEOMYCIN 0.1%/0.5% ointment
m49r.,BETAMETHASONE+NEOMYCIN 0.1%/0.5% ointment
m49s.,BETAMETHASONE+NEOMYCIN 0.1%/0.5% cream
m49s.,BETAMETHASONE+NEOMYCIN 0.1%/0.5% cream
m49t.,BETAMETHASONE+CLIOQUINOL 0.1%/3% cream
m49t.,BETAMETHASONE+CLIOQUINOL 0.1%/3% cream
m49u.,BETAMETHASONE+CLIOQUINOL 0.1%/3% ointment
m49u.,BETAMETHASONE+CLIOQUINOL 0.1%/3% ointment
m49v.,BETAMETHASONE+FUCIDIC ACID 0.1%/2% cream
m49w.,BETAMETHASONE+NEOMYCIN SULPHATE 0.1%/0.5% ointment
m49x.,BETAMETHASONE+NEOMYCIN SULPHATE 0.1%/0.5% cream
m49y.,BETAMETHASONE+CLIOQUINOL 0.1%/3% ointment
m49z.,BETAMETHASONE+CLIOQUINOL 0.1%/3% cream
m4a..,CLOBETASOL PROPIONATE
m4a1.,DERMOVATE 0.05% cream 30g
m4a2.,DERMOVATE 0.05% cream 100g
m4a3.,DERMOVATE 0.05% ointment 30g
m4a4.,DERMOVATE 0.05% ointment 100g
m4a5.,DERMOVATE 0.25% scalp application 25mL
m4a6.,DERMOVATE 0.05% scalp application 100mL
m4a7.,*DERMOVATE-NN 0.05% cream 30g
m4a8.,DERMOVATE-NN 0.05% ointment 30g
m4a9.,CLOBETASOL 0.05% cream 30g
m4aa.,CLOBETASOL 0.05% cream 100g
m4ab.,CLOBETASOL 0.05% ointment 30g
m4ac.,CLOBETASOL 0.05% ointment 100g
m4ad.,CLOBETASOL 0.05% scalp application 25mL
m4ae.,CLOBETASOL 0.05% scalp application 100mL
m4af.,DERMOVATE 0.05% scalp application 30mL
m4ag.,CLARELUX 500micrograms/g foam 100g
m4ah.,ETRIVEX 500micrograms/g shampoo 125mL
m4ai.,CLOBADERM 0.05% cream 30g
m4aj.,CLOBADERM 0.05% cream 100g
m4ak.,CLOBADERM 0.05% ointment 30g
m4al.,CLOBADERM 0.05% ointment 100g
m4aw.,CLOBETASOL 500micrograms/g shampoo 125mL
m4ax.,CLOBETASOL scalp application 100mL
m4ay.,CLOBETASOL scalp application 100g
m4az.,CLOBETASOL 500micrograms/g foam 100g
m4b..,CLOBETASONE BUTYRATE [SKIN]
m4b1.,EUMOVATE 0.05% cream 30g
m4b2.,EUMOVATE 0.05% cream 100g
m4b3.,EUMOVATE 0.05% ointment 30g
m4b4.,EUMOVATE 0.05% ointment 100g
m4b5.,TRIMOVATE cream 30g
m4b6.,*TRIMOVATE ointment 30g
m4b7.,EUMOVATE 0.05% cream 15g
m4by.,CLOBETASONE 0.05% cream
m4bz.,CLOBETASONE 0.05% ointment
m4c..,*DESONIDE
m4c1.,*TRIDESILON 0.05% cream 15g
m4c2.,*TRIDESILON 0.05% cream
m4c3.,*TRIDESILON 0.05% ointment
m4cy.,*DESONIDE 0.05% cream
m4cz.,*DESONIDE 0.05% ointment
m4d..,DESOXIMETASONE
m4d1.,*STIEDEX 0.25% oily cream 30g
m4d2.,STIEDEX LP 0.05% oily cream 30g
m4d3.,*STIEDEX LPN oily cream 15g
m4d4.,*STIEDEX 0.25% lotion 50mL
m4d5.,STIEDEX LP 0.05% oily cream 100g
m4dy.,DESOXYMETHASONE 0.25% oily cream
m4dz.,DESOXIMETASONE 0.05% oily cream
m4e..,DIFLUCORTOLONE VALERATE
m4e1.,NERISONE 0.1% cream 30g
m4e2.,NERISONE 0.1% oily cream 30g
m4e3.,NERISONE 0.1% ointment 30g
m4e4.,NERISONE FORTE 0.3% oily cream 15g
m4e5.,NERISONE FORTE 0.3% ointment 15g
m4e6.,*TEMETEX 0.1% cream
m4e7.,*TEMETEX 0.1% fatty ointment
m4e8.,*TEMETEX 0.1% ointment
m4eu.,DIFLUCORTOLONE VALERATE 0.1% cream
m4ev.,DIFLUCORTOLONE VALERATE 0.1% oily cream
m4ew.,DIFLUCORTOLONE VALERATE 0.1% ointment
m4ex.,DIFLUCORTOLONE VALERATE 0.3% oily cream
m4ey.,DIFLUCORTOLONE VALERATE 0.3% ointment
m4ez.,DIFLUCORTOLONE VALERATE 0.1% fatty ointment
m4f..,FLUCLOROLONE ACETONIDE
m4f1.,*TOPILAR 0.025% cream 30g
m4f2.,*TOPILAR 0.025% cream 100g
m4f3.,*TOPILAR 0.025% ointment 30g
m4f4.,*TOPILAR 0.025% ointment 100g
m4fy.,FLUCLOROLONE ACETONIDE 0.025% cream
m4fz.,FLUCLOROLONE ACETONIDE 0.025% ointment
m4g..,FLUOCINOLONE ACETONIDE
m4g1.,*SYNALAR 0.025% cream 15g
m4g2.,SYNALAR 0.025% cream 30g
m4g3.,*SYNALAR 0.025% cream 50g
m4g4.,SYNALAR 0.025% gel 30g
m4g5.,*SYNALAR 0.025% ointment 15g
m4g6.,SYNALAR 0.025% ointment 30g
m4g7.,*SYNALAR 0.025% ointment 50g
m4g8.,SYNALAR 1:4 cream 50g
m4g9.,SYNALAR 1:10 cream 50g
m4ga.,*SYNANDONE 0.01% cream
m4gb.,*SYNANDONE 0.01% ointment
m4gc.,SYNALAR C 0.025% cream 15g
m4gd.,SYNALAR C 0.025% ointment 15g
m4ge.,*SYNALAR N 0.025% cream 15g
m4gf.,SYNALAR N 0.025% cream 30g
m4gg.,*SYNALAR N 0.025% ointment 15g
m4gh.,SYNALAR N 0.025% ointment 30g
m4gi.,SYNALAR 1:4 ointment 50g
m4gj.,SYNALAR 0.025% gel 60g
m4go.,FLUOCINOLONE ACETONIDE+CLIOQUINOL 0.025%/3% cream
m4gp.,FLUOCINOLONE ACETONIDE+CLIOQUINOL 0.025%/3% ointment
m4gq.,FLUOCINOLONE ACETONIDE+NEOMYCIN SULFATE 0.025%/0.5% cream
m4gq.,FLUOCINOLONE ACETONIDE+NEOMYCIN SULPHATE 0.025%/0.5% cream
m4gr.,FLUOCINOLONE ACETONIDE+NEOMYCIN SULPHATE 0.025%/0.5% ointment
m4gr.,FLUOCINOLONE ACETONIDE+NEOMYCIN SULFATE 0.025%/0.5% ointment
m4gs.,FLUOCINOLONE ACETONIDE 0.00625% ointment
m4gt.,FLUOCINOLONE ACETONIDE 0.025% gel
m4gu.,FLUOCINOLONE ACETONIDE 0.025% ointment
m4gv.,FLUOCINOLONE ACETONIDE 0.00625% cream
m4gw.,FLUOCINOLONE ACETONIDE 0.0025% cream
m4gx.,FLUOCINOLONE ACETONIDE 0.01% cream
m4gy.,FLUOCINOLONE ACETONIDE 0.01% ointment
m4gz.,FLUOCINOLONE ACETONIDE 0.025% cream
m4h..,FLUOCINONIDE
m4h1.,METOSYN 0.05% cream 25g
m4h2.,METOSYN 0.05% cream 100g
m4h3.,METOSYN 0.05% ointment 25g
m4h4.,METOSYN 0.05% ointment 100g
m4h5.,METOSYN 0.05% scalp application 30mL
m4hx.,FLUOCINONIDE 0.05% cream
m4hy.,FLUOCINONIDE 0.05% ointment
m4hz.,FLUOCINONIDE 0.05% scalp application
m4i..,FLUOCORTOLONE
m4i1.,*ULTRADIL cream 50g
m4i2.,*ULTRADIL plain cream 100g
m4i3.,*ULTRADIL ointment 50g
m4i4.,*ULTRADIL plain ointment 100g
m4i5.,*ULTRALANUM plain cream 30g
m4i6.,*ULTRALANUM cream 50g
m4i7.,*ULTRALANUM plain ointment 30g
m4i8.,*ULTRALANUM ointment 50g
m4i9.,*FLUOCORTOLONE 0.2% cream
m4ia.,*FLUOCORTOLONE 0.2% ointment
m4ib.,FLUOCORTOLONE 0.5% cream
m4ic.,FLUOCORTOLONE 0.5% ointment
m4id.,*ULTRADIL PLAIN ointment 50g
m4ie.,*ULTRADIL PLAIN cream 50g
m4if.,ULTRALANUM PLAIN cream 50g
m4ig.,ULTRALANUM PLAIN ointment 50g
m4j..,FLUDROXYCORTIDE
m4j1.,HAELAN 0.0125% cream 60g
m4j2.,HAELAN 0.0125% ointment 60g
m4j3.,*HAELAN-X 0.05% cream 15g
m4j4.,*HAELAN-X 0.05% ointment 15g
m4j5.,*HAELAN-C 0.0125% cream 30g
m4j6.,*HAELAN-C 0.0125% ointment 30g
m4j7.,HAELAN 4micrograms/square centimetre 7.5cmx50cm tape
m4j8.,HAELAN 4micrograms/square centimetre 7.5cmx200cm tape
m4ju.,FLUDROXYCORTIDE 4micrograms/square centimetre 7.5x200cm tape
m4jv.,FLUDROXYCORTIDE 4micrograms/square centimetre 7.5x50cm tape
m4jw.,FLUDROXYCORTIDE 0.0125% cream
m4jx.,FLUDROXYCORTIDE 0.0125% ointment
m4jy.,*FLURANDRENOLONE 0.05% cream
m4jz.,FLURANDRENOLONE 0.05% ointment
m4k..,HALCINONIDE
m4k1.,HALCIDERM TOPICAL 0.1% cream 30g
m4kz.,*HALCINONIDE 0.1% cream
m4l..,HYDROCORTISONE BUTYRATE
m4l1.,LOCOID 0.1% cream 30g
m4l2.,LOCOID 0.1% cream 100g
m4l3.,LOCOID LIPOCREAM 0.1% cream 30g
m4l4.,LOCOID 0.1% ointment 30g
m4l5.,LOCOID 0.1% ointment 100g
m4l6.,*LOCOID 0.1% scalp lotion 30mL
m4l7.,LOCOID 0.1% scalp lotion 100mL
m4l8.,*LOCOID C 0.1% cream 30g
m4l9.,*LOCOID C 0.1% ointment 30g
m4la.,LOCOID LIPOCREAM 0.1% cream 100g
m4lb.,LOCOID CRELO 0.1% emulsion
m4lt.,HYDROCORTISONE BUTYRATE 0.1% emulsion
m4lw.,HYDROCORTISONE BUTYRATE 0.1% cream
m4lx.,HYDROCORTISONE BUTYRATE 0.1% lipocream
m4ly.,HYDROCORTISONE BUTYRATE 0.1% ointment
m4lz.,HYDROCORTISONE BUTYRATE 0.1% scalp lotion
m4m..,METHYLPREDNISOLONE ACETATE
m4m1.,*NEO-MEDRONE 0.25% cream 15g
m4my.,METHYLPREDNISOLONE/NEOMYCIN 0.25/0.5% cream 15g
m4mz.,METHYLPREDNISOLONE ACET 0.25% cream
m4n..,TRIAMCINOLONE ACETONIDE [SKIN]
m4n1.,*ADCORTYL 0.1% cream 30g
m4n2.,*ADCORTYL 0.1% ointment 30g
m4n3.,*LEDERCORT 0.1% cream 15g
m4n4.,*LEDERCORT 0.1% cream 250g
m4n5.,*LEDERCORT 0.1% ointment 15g
m4n6.,*LEDERCORT 0.1% ointment 250g
m4n7.,*ADCORTYL+GRANEODIN cream 25g
m4n8.,*ADCORTYL+GRANEODIN ointment
m4n9.,*AUREOCORT cream 15g
m4na.,AUREOCORT ointment 15g
m4nb.,*NYSTADERMAL cream 15g
m4nc.,*SILDERM cream
m4nd.,*TRI-ADCORTYL cream 15g
m4ne.,*TRI-ADCORTYL cream 30g
m4nf.,*TRI-ADCORTYL ointment 15g
m4ng.,*TRI-ADCORTYL ointment 30g
m4nv.,TRIAMCINOLONE ACETONIDE+CHLORTETRACYCLINE HYDROCHLORIDE 0.1/3% ointment
m4ny.,TRIAMCINOLONE ACETONIDE 0.1% ointment
m4nz.,TRIAMCINOLONE ACETONIDE 0.1% cream
m4o..,BUDESONIDE TOPICAL
m4o1.,*BUDESONIDE 0.025% cream 30g
m4o2.,*BUDESONIDE 0.025% cream 100g
m4o3.,BUDESONIDE 0.025% ointment 30g
m4o4.,BUDESONIDE 0.025% ointment 100g
m4o5.,*PREFERID 0.025% cream 30g
m4o6.,*PREFERID 0.025% cream 100g
m4o7.,*PREFERID 0.025% ointment 30g
m4o8.,*PREFERID 0.025% ointment 100g
m4p..,HYDROCORTISONE ACETATE [TOPICAL]
m4p1.,*HYDROCAL 1% cream
m4q..,MOMETASONE FUROATE [TOPICAL]
m4q1.,ELOCON cream 30g
m4q2.,ELOCON lotion 30mL
m4q3.,ELOCON ointment 30g
m4q4.,MOMETASONE FUROATE 0.1% cream 30g
m4q5.,MOMETASONE FUROATE 0.1% lotion 30mL
m4q6.,MOMETASONE FUROATE 0.1% ointment 30g
m4q7.,MOMETASONE FUROATE 0.1% cream
m4q8.,MOMETASONE FUROATE 0.1% ointment
m4q9.,MOMETASONE FUROATE 0.1% lotion
m4qA.,ELOCON cream 100g
m4qB.,ELOCON ointment 100g
m4r..,FLUTICASONE PROPIONATE[SKIN]
m4r1.,CUTIVATE 0.05% cream
m4r2.,FLUTICASONE PROPIONATE 0.05% cream
m4r3.,CUTIVATE 0.05% cream 15g
m4r4.,*CUTIVATE 0.05% cream 50g
m4r5.,FLUTICASONE PROPIONATE 0.005% ointment
m4r6.,CUTIVATE 0.005% ointment
m4r7.,CUTIVATE 0.005% ointment 15g
m4r8.,*CUTIVATE 0.005% ointment 50g
m4r9.,CUTIVATE 0.005% ointment 30g
m4rA.,CUTIVATE 0.05% cream 30g
