DRUG_CODE,DESCRIPTION
ed6f.,RIFINAH 300mg/150mg tablets
ed6g.,*RIMACTAZID-150 tablets
ed6h.,*RIMACTAZID-300 tablets
ed6j.,*RIMACTAZID-300 tablets CP
ed6k.,*RIMACTAZID-150 tablets CP
ed6n.,RIFAMPICIN+ISONIAZID 150mg/100mg tablets
ed6p.,RIFAMPICIN+ISONIAZID 300mg/150mg tablets
ed6q.,VORACTIV 150mg/75mg/400mg/275mg tablets
ed6r.,RIFAMPIC+ISONIAZID+PYRAZIN+ETHAMBUT 150/75/400/275mg tablets
ed6r.,RIFAMPAC/ISONIAZID/PYRAZIN/ETHAMBUT 150/75/400/275mg tablets
ed6u.,*RIMACTAZID 150 tablets CP
