READ_CODE,DESCRIPTION
dm...,PROPHYLAXIS OF MIGRAINE
dm1..,CLONIDINE HCL [MIGRAINE]
dm11.,DIXARIT 25micrograms tablets
dm1z.,CLONIDINE HCL 25microgram tablets
dm2..,METHYSERGIDE
dm21.,DESERIL 1mg tablets
dm21.,*DESERIL 1mg tablets
dm2z.,*METHYSERGIDE 1mg tablets
dm2z.,METHYSERGIDE 1mg tablets
dm3..,PIZOTIFEN
dm31.,SANOMIGRAN 500micrograms tablets
dm31.,SANOMIGRAN 500micrograms tablets
dm32.,SANOMIGRAN 1.5mg tablets x28
dm33.,SANOMIGRAN 250micrograms/5mL sugar free elixir
dm33.,SANOMIGRAN 250micrograms/5mL sugar free elixir
dm3x.,PIZOTIFEN 500microgram tablets
dm3y.,PIZOTIFEN 1.5mg tablets
dm3z.,PIZOTIFEN 250microgram/5mL sugar free elixir
dm3z.,PIZOTIFEN 250microgram/5mL sugar free elixir
