"Code","Description","MedicalFrequency","AHDFrequency"
"C109E00","Non-insulin depend diabetes mellitus with diabetic cataract","40","0"
"C10F811","Metabolic syndrome X","190","0"
"C10F411","Type II diabetes mellitus with ulcer","6","0"
"C109A00","Non-insulin dependent diabetes mellitus with mononeuropathy","3","0"
"C101100","Diabetes mellitus, adult onset, with ketoacidosis","91","0"
"C109900","Non-insulin-dependent diabetes mellitus without complication","193","0"
"C107100","Diabetes mellitus, adult, + peripheral circulatory disorder","196","0"
"C10z100","Diabetes mellitus, adult onset, + unspecified complication","136","0"
"C109400","Non-insulin dependent diabetes mellitus with ulcer","210","0"
"C10FE11","Type II diabetes mellitus with diabetic cataract","76","0"
"C109000","Non-insulin-dependent diabetes mellitus with renal comps","30","0"
"C10FQ11","Type II diabetes mellitus with exudative maculopathy","1","0"
"C10FM11","Type II diabetes mellitus with persistent microalbuminuria","12","0"
"C10F000","Type 2 diabetes mellitus with renal complications","276","1"
"C109E11","Type II diabetes mellitus with diabetic cataract","11","0"
"C109E12","Type 2 diabetes mellitus with diabetic cataract","11","0"
"C10F400","Type 2 diabetes mellitus with ulcer","141","0"
"C109A11","","0","0"
"C109A12","","0","0"
"C109911","","0","0"
"C109912","Type 2 diabetes mellitus without complication","1","0"
"C109412","Type 2 diabetes mellitus with ulcer","22","0"
"C109411","Type II diabetes mellitus with ulcer","19","0"
"C10FK00","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","565","10"
"C109012","Type 2 diabetes mellitus with renal complications","17","0"
"C109011","Type II diabetes mellitus with renal complications","9","0"
"C10FG00","Type 2 diabetes mellitus with arthropathy","66","0"
"C10F311","Type II diabetes mellitus with multiple complications","8","0"
"C109H00","Non-insulin dependent d m with neuropathic arthropathy","10","0"
"C109D00","Non-insulin dependent diabetes mellitus with hypoglyca coma","10","0"
"C10F711","Type II diabetes mellitus - poor control","89","0"
"C10FC11","Type II diabetes mellitus with nephropathy","43","0"
"C10FH11","Type II diabetes mellitus with neuropathic arthropathy","5","0"
"C105100","Diabetes mellitus, adult onset, + ophthalmic manifestation","213","0"
"C107400","NIDDM with peripheral circulatory disorder","71","0"
"C109300","Non-insulin-dependent diabetes mellitus with multiple comps","12","0"
"C10FD11","Type II diabetes mellitus with hypoglycaemic coma","24","0"
"C10FP11","Type II diabetes mellitus with ketoacidotic coma","2","0"
"C109H12","Type 2 diabetes mellitus with neuropathic arthropathy","11","0"
"C10F300","Type 2 diabetes mellitus with multiple complications","50","0"
"C10FL11","Type II diabetes mellitus with persistent proteinuria","8","0"
"C109H11","Type II diabetes mellitus with neuropathic arthropathy","6","0"
"C109D12","Type 2 diabetes mellitus with hypoglycaemic coma","7","0"
"C109D11","Type II diabetes mellitus with hypoglycaemic coma","1","0"
"C10F700","Type 2 diabetes mellitus - poor control","1750","0"
"C102100","Diabetes mellitus, adult onset, with hyperosmolar coma","31","0"
"C10FC00","Type 2 diabetes mellitus with nephropathy","1754","13"
"C10y100","Diabetes mellitus, adult, + other specified manifestation","24","0"
"C109311","Type II diabetes mellitus with multiple complications","1","0"
"C10FJ00","Insulin treated Type 2 diabetes mellitus","13865","75"
"C109312","Type 2 diabetes mellitus with multiple complications","3","0"
"C10FF00","Type 2 diabetes mellitus with peripheral angiopathy","119","0"
"C10F.11","Type II diabetes mellitus","8340","1"
"C109K00","Hyperosmolar non-ketotic state in type 2 diabetes mellitus","71","0"
"C10FR00","Type 2 diabetes mellitus with gastroparesis","217","0"
"C10P111","Type 2 diabetes mellitus in remission","40","0"
"C10F211","Type II diabetes mellitus with neurological complications","3","0"
"C109G00","Non-insulin dependent diabetes mellitus with arthropathy","3","0"
"C10FN00","Type 2 diabetes mellitus with ketoacidosis","826","4"
"C109C00","Non-insulin dependent diabetes mellitus with nephropathy","75","0"
"C10F611","Type II diabetes mellitus with retinopathy","44","0"
"C10FB11","Type II diabetes mellitus with polyneuropathy","29","0"
"C109700","Non-insulin dependent diabetes mellitus - poor control","1957","3"
"C109600","Non-insulin-dependent diabetes mellitus with retinopathy","149","0"
"C10FK11","Hyperosmolar non-ketotic state in type II diabetes mellitus","2","0"
"C109200","Non-insulin-dependent diabetes mellitus with neuro comps","14","0"
"C10FG11","Type II diabetes mellitus with arthropathy","14","0"
"C10F.00","Type 2 diabetes mellitus","1044050","3910"
"C109.00","Non-insulin dependent diabetes mellitus","113931","141"
"C10P100","Type II diabetes mellitus in remission","191","0"
"C10F200","Type 2 diabetes mellitus with neurological complications","99","0"
"C109G11","","0","0"
"C109G12","Type 2 diabetes mellitus with arthropathy","3","0"
"C109C11","Type II diabetes mellitus with nephropathy","14","0"
"C109C12","Type 2 diabetes mellitus with nephropathy","11","0"
"C10F600","Type 2 diabetes mellitus with retinopathy","1601","0"
"C100100","Diabetes mellitus, adult onset, no mention of complication","19417","40"
"C10FB00","Type 2 diabetes mellitus with polyneuropathy","248","0"
"C109711","Type II diabetes mellitus - poor control","38","0"
"C109712","Type 2 diabetes mellitus - poor control","36","0"
