"Code","Description","MedicalFrequency","AHDFrequency"
"G301.00","Other specified anterior myocardial infarction","2312","10"
"322Z.00","ECG: myocardial ischaemia NOS","6","95"
"Gyu3300","[X]Other forms of chronic ischaemic heart disease","14","0"
"7926000","Double anastom thoracic arteries to coronary arteries NEC","2","0"
"7928300","Percut translum cutting balloon angioplasty coronary artery","29","0"
"662K200","Angina control - improving","2424","0"
"G311400","Worsening angina","3411","0"
"7923300","Prosthetic replacement of four or more coronary arteries","13","0"
"G307.00","Acute subendocardial infarction","3551","8"
"6A4..00","Coronary heart disease review","56273","15"
"7927z00","Other open operation on coronary artery NOS","14","0"
"792B100","Repair of rupture of coronary artery","1","0"
"14AH.00","H/O: Myocardial infarction in last year","154","0"
"7921y00","Other autograft replacement of coronary artery OS","12","0"
"G32..12","Personal history of myocardial infarction","996","2"
"G32..11","Healed myocardial infarction","305","4"
"792Ay00","Diagnostic transluminal operation on coronary artery OS","14","0"
"3236.00","ECG: lateral infarction","11","37"
"G363.00","Ruptur cardiac wall w'out haemopericard/cur comp fol ac MI","1","2"
"G30yz00","Other acute myocardial infarction NOS","815","3"
"7925.00","Connection of mammary artery to coronary artery","135","0"
"7921000","Autograft replacement of one coronary artery NEC","72","0"
"7929400","Insertion of coronary artery stent","26206","0"
"7927100","Repair of aneurysm of coronary artery","90","0"
"7920200","Saphenous vein graft replacement of three coronary arteries","3331","0"
"7924y00","Other specified revision of bypass for coronary artery","2","0"
"792C.00","Other replacement of coronary artery","44","0"
"G383.00","Postoperative transmural myocardial infarction unspec site","2","0"
"G31yz00","Other acute and subacute ischaemic heart disease NOS","68","5"
"G33z600","New onset angina","540","0"
"8BGC.00","Long term dual antiplatelet drug therapy indicated","203","0"
"G341000","Ventricular cardiac aneurysm","981","1"
"7928.00","Transluminal balloon angioplasty of coronary artery","31161","0"
"G301z00","Anterior myocardial infarction NOS","4741","7"
"792y.00","Other specified operations on coronary artery","466","0"
"8H2V.00","Admit ischaemic heart disease emergency","36","0"
"7926300","Single implantation thoracic artery into coronary artery NEC","2","0"
"Gyu3400","[X]Acute transmural myocardial infarction of unspecif site","4","0"
"792Dy00","Other specified other bypass of coronary artery","205","0"
"G301100","Acute anteroseptal infarction","1324","2"
"7924000","Revision of bypass for one coronary artery","14","0"
"G38..00","Postoperative myocardial infarction","214","0"
"7925z00","Connection of mammary artery to coronary artery NOS","112","0"
"7921300","Autograft replacement of four of more coronary arteries NEC","84","0"
"G330000","Nocturnal angina","268","0"
"G307100","Acute non-ST segment elevation myocardial infarction","62185","66"
"G305.00","Lateral myocardial infarction NOS","763","1"
"G351.00","Subsequent myocardial infarction of inferior wall","54","0"
"662K500","Angina self management plan completed","15","0"
"8B27.00","Antianginal therapy","129","0"
"G310.11","Dressler's syndrome","503","0"
"889A.00","Diab mellit insulin-glucose infus acute myocardial infarct","6","0"
"G340.00","Coronary atherosclerosis","7496","1342"
"7928.11","Percutaneous balloon coronary angioplasty","3331","0"
"G33z.00","Angina pectoris NOS","8602","2"
"793G200","Perc translum balloon angioplasty insert 1-2 stents cor art","242","0"
"G31y000","Acute coronary insufficiency","2674","46"
"7925100","Double implant of mammary arteries into coronary arteries","6","0"
"7923.00","Prosthetic replacement of coronary artery","32","0"
"7927400","Exploration of coronary artery","24","0"
"G3...13","IHD - Ischaemic heart disease","143811","3971"
"G3...12","Atherosclerotic heart disease","2219","109"
"G3...11","Arteriosclerotic heart disease","846","9"
"G30y200","Acute septal infarction","212","0"
"792..00","Coronary artery operations","20692","3"
"7920100","Saphenous vein graft replacement of two coronary arteries","1452","0"
"G341z00","Aneurysm of heart NOS","38","0"
"G311.12","Impending infarction","6","0"
"G311.11","Crescendo angina","4623","2"
"7920z00","Saphenous vein graft replacement coronary artery NOS","344","0"
"G33z700","Stable angina","7220","1"
"G311.14","Angina at rest","647","1"
"G38z.00","Postoperative myocardial infarction, unspecified","21","0"
"793Gz00","Perc translum balloon angioplasty stenting coronary art NOS","212","0"
"G311.13","Unstable angina","29490","5"
"SP00300","Mechanical complication of coronary bypass","4","0"
"G37..00","Cardiac syndrome X","2352","0"
"G362.00","Ventric septal defect/curr comp fol acut myocardal infarctn","40","3"
"7926200","Single anastomosis of thoracic artery to coronary artery NEC","1","0"
"7923.11","Prosthetic bypass of coronary artery","112","0"
"Gyu3500","[X]Subsequent myocardial infarction of other sites","1","0"
"G341100","Other cardiac wall aneurysm","18","0"
"G3...00","Ischaemic heart disease","567676","6364"
"G301000","Acute anteroapical infarction","127","0"
"792D.00","Other bypass of coronary artery","847","0"
"792..11","Coronary artery bypass graft operations","51046","9"
"7925y00","Connection of mammary artery to coronary artery OS","7","0"
"G307000","Acute non-Q wave infarction","945","0"
"G33..00","Angina pectoris","745561","215"
"662K400","Angina self management plan commenced","18","0"
"7921200","Autograft replacement of three coronary arteries NEC","160","0"
"14AL.00","H/O: Treatment for ischaemic heart disease","152","0"
"3232.00","ECG: old myocardial infarction","41","597"
"G311.00","Preinfarction syndrome","4764","1"
"G384.00","Postoperative subendocardial myocardial infarction","25","0"
"793G100","Perc tran ball angio ins 3 or more drug elut stents cor art","152","0"
"7929.00","Other therapeutic transluminal operations on coronary artery","320","0"
"SP07600","Coronary artery bypass graft occlusion","3380","2"
"G330z00","Angina decubitus NOS","41","0"
"G31y100","Microinfarction of heart","18","0"
"7927300","Transposition of coronary artery NEC","90","0"
"7929600","Percutaneous transluminal atherectomy of coronary artery","28","0"
"14AW.00","H/O acute coronary syndrome","381","2"
"ZV45800","[V]Presence of coronary angioplasty implant and graft","774","0"
"G341111","Mural cardiac aneurysm","1","0"
"G300.00","Acute anterolateral infarction","2245","4"
"8T04.00","Referral to Angina Plan self-management programme","28","0"
"7925000","Double anastomosis of mammary arteries to coronary arteries","31","0"
"14A4.00","H/O: myocardial infarct >60","2201","1"
"7A6H400","Percutaneous transluminal angioplasty of vascular graft","16","0"
"G350.00","Subsequent myocardial infarction of anterior wall","48","0"
"792C000","Replacement of coronary arteries using multiple methods","9","0"
"7928y00","Transluminal balloon angioplasty of coronary artery OS","288","0"
"ZV45K00","[V]Presence of coronary artery bypass graft","2869","5"
"8CMP.00","Coronary heart disease care plan","6884","0"
"G309.00","Acute Q-wave infarct","111","0"
"Gyu3600","[X]Subsequent myocardial infarction of unspecified site","2","0"
"G341200","Aneurysm of coronary vessels","67","0"
"7928000","Percut transluminal balloon angioplasty one coronary artery","1331","0"
"7924200","Revision of bypass for three coronary arteries","22","0"
"8L40.00","Coronary artery bypass graft operation planned","559","0"
"7921.11","Other autograft bypass of coronary artery","455","0"
"14AJ.00","H/O: Angina in last year","184","0"
"7923y00","Other specified prosthetic replacement of coronary artery","1","0"
"G311z00","Preinfarction syndrome NOS","137","0"
"792B.00","Repair of coronary artery NEC","56","0"
"7929z00","Other therapeutic transluminal op on coronary artery NOS","50","0"
"G34z.00","Other chronic ischaemic heart disease NOS","273","6"
"7A56400","Percutaneous transluminal balloon angioplasty of artery","669","0"
"G311100","Unstable angina","26552","5"
"7927.00","Other open operations on coronary artery","408","0"
"G344.00","Silent myocardial ischaemia","587","33"
"G33z000","Status anginosus","33","0"
"G31y200","Subendocardial ischaemia","131","1"
"G361.00","Atrial septal defect/curr comp folow acut myocardal infarct","40","0"
"7925300","Single anastomosis of mammary artery to coronary artery NEC","28","0"
"G340000","Single coronary vessel disease","6001","3"
"792Cy00","Other specified replacement of coronary artery","3","0"
"7923000","Prosthetic replacement of one coronary artery","3","0"
"7929100","Percut transluminal coronary thrombolysis with streptokinase","252","0"
"G30..00","Acute myocardial infarction","232780","3362"
"G304.00","Posterior myocardial infarction NOS","907","3"
"7920300","Saphenous vein graft replacement of four+ coronary arteries","1615","0"
"7924z00","Revision of bypass for coronary artery NOS","10","0"
"14A..00","H/O: cardiovascular disease","10328","0"
"G310.00","Postmyocardial infarction syndrome","120","0"
"G33zz00","Angina pectoris NOS","17205","36"
"G311011","MI - myocardial infarction aborted","43","0"
"G366.00","Thrombosis atrium,auric append&vent/curr comp foll acute MI","49","1"
"G30..17","Silent myocardial infarction","438","4"
"G30..16","Thrombosis - coronary","231","148"
"G30..15","MI - acute myocardial infarction","88807","2044"
"G343.00","Ischaemic cardiomyopathy","2145","60"
"6A2..00","Coronary heart disease annual review","458226","73"
"3233.00","ECG: antero-septal infarct.","10","180"
"7925311","LIMA single anastomosis","38","0"
"792Dz00","Other bypass of coronary artery NOS","948","0"
"7925312","RIMA single anastomosis","1","0"
"G30..14","Heart attack","4851","57"
"G30..13","Cardiac rupture following myocardial infarction (MI)","115","52"
"G30..12","Coronary thrombosis","2331","282"
"7929111","Percut translum coronary thrombolytic therapy- streptokinase","9","0"
"7924100","Revision of bypass for two coronary arteries","13","0"
"7922.00","Allograft replacement of coronary artery","162","0"
"G341300","Acquired atrioventricular fistula of heart","18","0"
"G30..11","Attack - heart","427","1"
"323..00","ECG: myocardial infarction","421","1009"
"14A3.00","H/O: myocardial infarct <60","3073","0"
"Gyu3.00","[X]Ischaemic heart diseases","635","2"
"G332.00","Coronary artery spasm","1387","2"
"G30z.00","Acute myocardial infarction NOS","77300","585"
"7929y00","Other therapeutic transluminal op on coronary artery OS","40","0"
"3222.00","ECG:shows myocardial ischaemia","63","721"
"G380.00","Postoperative transmural myocardial infarction anterior wall","11","0"
"ZV45K11","[V]Presence of coronary artery bypass graft - CABG","5596","3"
"662K.00","Angina control","46692","208"
"G311000","Myocardial infarction aborted","70","0"
"7929000","Percutaneous transluminal laser coronary angioplasty","909","0"
"G31y300","Transient myocardial ischaemia","346","16"
"G33z100","Stenocardia","10","0"
"793G300","Percutaneous cor balloon angiop 3 more stents cor art NEC","54","0"
"7925200","Single anast mammary art to left ant descend coronary art","93","0"
"G34..00","Other chronic ischaemic heart disease","859","16"
"7927500","Open angioplasty of coronary artery","4797","1"
"8L41.00","Coronary angioplasty planned","300","0"
"G340100","Double coronary vessel disease","3965","1"
"7922.11","Allograft bypass of coronary artery","169","0"
"7924400","","0","0"
"G331.00","Prinzmetal's angina","825","0"
"662N.00","CHD monitoring","279811","70"
"G34y.00","Other specified chronic ischaemic heart disease","53","4"
"7922z00","Allograft replacement of coronary artery NOS","13","0"
"G31..00","Other acute and subacute ischaemic heart disease","237","7"
"792Bz00","Repair of coronary artery NOS","56","0"
"G30X.00","Acute transmural myocardial infarction of unspecif site","179","7"
"G360.00","Haemopericardium/current comp folow acut myocard infarct","70","68"
"7922100","Allograft replacement of two coronary arteries","26","0"
"7920.00","Saphenous vein graft replacement of coronary artery","3307","0"
"7925.11","Creation of bypass from mammary artery to coronary artery","29","0"
"Gyu3000","[X]Other forms of angina pectoris","74","0"
"661N000","Angina self-management plan review","4","0"
"7928200","Percut translum balloon angioplasty bypass graft coronary a","63","0"
"662K100","Angina control - poor","3119","23"
"G331.11","Variant angina pectoris","130","0"
"792B000","Endarterectomy of coronary artery NEC","709","0"
"7927y00","Other specified other open operation on coronary artery","9","0"
"G34z000","Asymptomatic coronary heart disease","1107","4"
"7A54700","Percutaneous transluminal thrombolysis of artery","96","0"
"G311300","Refractory angina","162","0"
"7A6G100","Peroperative angioplasty","488","0"
"14A5.00","H/O: angina pectoris","23912","5"
"G365.00","Rupture papillary muscle/curr comp fol acute myocard infarct","3","1"
"8B3k.00","Coronary heart disease medication review","16672","105682"
"793G.00","Perc translumin balloon angioplasty stenting coronary artery","11659","0"
"G30B.00","Acute posterolateral myocardial infarction","59","0"
"G33z200","Syncope anginosa","65","0"
"3234.00","ECG:posterior/inferior infarct","9","159"
"7927000","Repair of arteriovenous fistula of coronary artery","20","0"
"7929300","Rotary blade coronary angioplasty","1512","0"
"7923200","Prosthetic replacement of three coronary arteries","30","0"
"7920.11","Saphenous vein graft bypass of coronary artery","1380","0"
"G302.00","Acute inferolateral infarction","2027","2"
"7922y00","Other specified allograft replacement of coronary artery","96","0"
"7928z00","Transluminal balloon angioplasty of coronary artery NOS","3533","0"
"G381.00","Postoperative transmural myocardial infarction inferior wall","29","0"
"792A.00","Diagnostic transluminal operations on coronary artery","141","0"
"G30y.00","Other acute myocardial infarction","299","7"
"ZV45L00","[V]Status following coronary angioplasty NOS","862","0"
"G33z300","Angina on effort","5671","2"
"G35..00","Subsequent myocardial infarction","300","4"
"7A6H300","Prosthetic graft patch angioplasty","20","0"
"G3y..00","Other specified ischaemic heart disease","815","7"
"14AT.00","History of myocardial infarction","374","1"
"662Kz00","Angina control NOS","1773","0"
"7926.00","Connection of other thoracic artery to coronary artery","25","0"
"7924300","Revision of bypass for four or more coronary arteries","2","0"
"7.92E+02","","0","0"
"792By00","Other specified repair of coronary artery","14","0"
"Gyu3100","","0","0"
"7928100","Percut translum balloon angioplasty mult coronary arteries","413","0"
"7922000","Allograft replacement of one coronary artery","7","0"
"G353.00","Subsequent myocardial infarction of other sites","2","0"
"323Z.00","ECG: myocardial infarct NOS","3","129"
"G303.00","Acute inferoposterior infarction","638","1"
"7A54000","Percutaneous transluminal angioplasty of artery NEC","8990","4"
"7923z00","Prosthetic replacement of coronary artery NOS","3","0"
"9Ob0.00","Attends coronary heart disease monitoring","4021","7"
"7A54800","Percutaneous transluminal atherectomy","39","0"
"G311200","Angina at rest","1840","0"
"8IEY.00","Referral to Angina Plan self-management programme declined","2","0"
"662K000","Angina control - good","65344","9"
"G342.00","Atherosclerotic cardiovascular disease","228","45"
"322..00","ECG: myocardial ischaemia","669","1453"
"G501.00","Post infarction pericarditis","53","1"
"G308.00","Inferior myocardial infarction NOS","14919","37"
"7925400","Single implantation of mammary artery into coronary artery","15","0"
"792Cz00","Replacement of coronary artery NOS","47","0"
"7923100","Prosthetic replacement of two coronary arteries","5","0"
"7921.00","Other autograft replacement of coronary artery","400","0"
"7929200","Percut translum inject therap subst to coronary artery NEC","10","0"
