"Code","Description","MedicalFrequency","AHDFrequency"
"B563200","Secondary and unspec malig neop infraclavicular lymph nodes","7","0"
"B582400","Secondary malignant neoplasm of skin of shoulder and arm","4","0"
"B58y.00","Secondary malignant neoplasm of other specified sites","280","2"
"B565000","Secondary and unspec malig neop internal iliac lymph nodes","2","0"
"B586.00","Secondary malignant neoplasm of ovary","152","0"
"B58y200","Secondary malignant neoplasm of cervix uteri","17","1"
"B594.00","Secondary malignant neoplasm of unknown site","99","2"
"B560z00","Secondary unspec malig neop lymph nodes head/face/neck NOS","22","0"
"B576000","Secondary malignant neoplasm of retroperitoneum","38","0"
"B560500","Secondary and unspec malig neop submandibular lymph nodes","13","0"
"B560900","Secondary and unspec malig neop deep cervical LN","7","0"
"B577.11","Liver metastases","13648","230"
"B56..00","Secondary and unspecified malignant neoplasm of lymph nodes","909","3"
"B562400","Secondary and unspec malig neop external iliac lymph nodes","5","0"
"B583.00","Secondary malignant neoplasm of brain and spinal cord","511","2"
"B153.00","Secondary malignant neoplasm of liver","647","9"
"B562000","Secondary and unspec malig neop coeliac lymph nodes","3","0"
"B583200","Cerebral metastasis","5849","200"
"B560100","Secondary and unspec malignant neoplasm mastoid lymph nodes","3","0"
"B564000","Secondary and unspec malig neop superficial inguinal LN","13","0"
"B56y.00","Secondary and unspec malig neop lymph nodes multiple sites","14","0"
"B576z00","Secondary malig neop of retroperitoneum or peritoneum NOS","7","0"
"B58y211","Secondary cancer of the cervix","18","0"
"B574200","","0","0"
"ByuC400","[X]Secondary malignant neoplasm/oth+unspcfd digestive organs","29","0"
"B582500","Secondary malignant neoplasm of skin of hip and leg","12","0"
"B580.00","Secondary malignant neoplasm of kidney","193","3"
"B582z00","Secondary malignant neoplasm of skin NOS","33","0"
"B561800","Secondary and unspec malig neop bronchopulmonary lymph nodes","9","0"
"B577.00","Secondary malignant neoplasm of liver","5081","46"
"B561400","Secondary and unspec malig neop post mediastinal lymph nodes","8","1"
"B58y600","Secondary malignant neoplasm of testis","5","0"
"B582100","Secondary malignant neoplasm of skin of face","16","0"
"B565200","Secondary and unspec malig neop circumflex iliac LN","1","0"
"B561000","Secondary and unspec malig neop internal mammary lymph nodes","11","0"
"B563300","Secondary and unspec malig neop pectoral lymph nodes","4","0"
"B563.00","Secondary and unspec malig neop axilla and upper limb LN","45","0"
"B565100","Secondary and unspec malig neop inferior epigastric LN","1","0"
"B58y100","Secondary malignant neoplasm of uterus","27","1"
"B571.00","Secondary malignant neoplasm of mediastinum","47","1"
"B57..11","Metastases of respiratory and/or digestive systems","2054","80"
"B57..12","Secondary carcinoma of respiratory and/or digestive systems","43","2"
"BB14.00","[M]Carcinomatosis","636","308"
"B560600","Secondary and unspec malig neop of facial lymph nodes","1","0"
"B576100","Secondary malignant neoplasm of peritoneum","314","1"
"B574.00","Secondary malignant neoplasm of small intestine and duodenum","14","0"
"B562z00","Secondary and unspec malig neop intra-abdominal LN NOS","12","0"
"B560.00","Secondary and unspec malig neop lymph nodes head/face/neck","79","1"
"B581000","Secondary malignant neoplasm of ureter","4","0"
"BB85100","[M]Metastatic signet ring cell carcinoma","5","0"
"B560200","Secondary and unspec malig neop superficial cervical LN","14","0"
"B562100","Secondary and unspec malig neop superficial mesenteric LN","4","0"
"B58z.00","Secondary malignant neoplasm of other specified site NOS","779","1"
"B562.00","Secondary and unspec malig neop intra-abdominal lymph nodes","33","0"
"B585.00","Secondary malignant neoplasm of bone and bone marrow","7735","34"
"BB2B.00","[M]Squamous cell carcinoma, metastatic NOS","1032","116"
"BB13.00","[M]Carcinoma, metastatic, NOS","12574","1081"
"B57..00","Secondary malig neop of respiratory and digestive systems","244","2"
"B576200","Malignant ascites","796","3"
"B561z00","Secondary and unspec malig neop intrathoracic LN NOS","7","0"
"B582600","Secondary malignant neoplasm of skin of breast","63","1"
"B575000","Secondary malignant neoplasm of colon","150","9"
"ByuC500","[X]2ndry malignant neoplasm/bladder+oth+unsp urinary organs","3","0"
"B561900","Secondary and unspec malig neop pulmonary lymph nodes","58","0"
"B58y500","Secondary malignant neoplasm of prostate","340","18"
"B582.00","Secondary malignant neoplasm of skin","302","23"
"B561500","Secondary and unspec malig neop paratracheal lymph nodes","11","0"
"B563000","Secondary and unspec malig neop axillary lymph nodes","133","0"
"B565300","Secondary and unspec malig neop sacral lymph nodes","1","0"
"B58y900","Secondary malignant neoplasm of tongue","5","2"
"B58yz00","Secondary malignant neoplasm of other specified site NOS","286","3"
"B582200","Secondary malignant neoplasm of skin of neck","12","0"
"B561100","Secondary and unspec malig neop intercostal lymph nodes","3","0"
"B565.00","Secondary and unspec malig neop intrapelvic lymph nodes","27","0"
"B590.00","Disseminated malignancy NOS","16254","663"
"B575z00","Secondary malig neop of large intestine or rectum NOS","13","0"
"B58y000","Secondary malignant neoplasm of breast","377","9"
"BB13.11","[M]Secondary carcinoma","290","5"
"B575100","Secondary malignant neoplasm of rectum","29","1"
"BB53.00","[M]Adenocarcinoma, metastatic, NOS","2690","176"
"B576.00","Secondary malig neop of retroperitoneum and peritoneum","20","0"
"B560700","Secondary and unspec malig neop submental lymph nodes","4","0"
"B57y.00","Secondary malignant neoplasm of other digestive organ","55","2"
"B564z00","Secondary and unspec malig neop of inguinal and leg LN NOS","11","0"
"B581z00","Secondary malignant neoplasm of other urinary organ NOS","6","1"
"B583000","Secondary malignant neoplasm of brain","2765","19"
"B560300","Secondary and unspec malignant neoplasm occipital lymph node","8","0"
"B564100","Secondary and unspec malig neop deep inguinal lymph nodes","1","0"
"B581100","Secondary malignant neoplasm of bladder","90","6"
"B562200","Secondary and unspec malig neop inferior mesenteric LN","5","0"
