"Code","Description","MedicalFrequency","AHDFrequency"
"C13yz00","Other pituitary disorders + diencephalohypophyseal synd NOS","46","0"
"C136z00","Other disorder of neurohypophysis NOS","2","0"
"C132300","Postinfective panhypopituitarism","3","0"
"C134200","LH - luteinising hormone deficiency","37","2"
"C131.11","Forbes - Albright syndrome","12","0"
"B7H2100","Benign neoplasm of Rathke's pouch","20","0"
"C13y111","Frohlich's syndrome","41","0"
"7100.11","Hypophysectomy operations","427","0"
"C137.00","Iatrogenic pituitary disorders","31","0"
"C13z.00","Pituitary disorders NOS","273","0"
"K5B1z00","Female infertility of pituitary - hypothalamic cause NOS","2","0"
"B7H2z00","Benign neoplasm of pituitary and craniopharyngeal duct NOS","31","0"
