"Code","Description","MedicalFrequency","AHDFrequency"
"J615z12","Cryptogenic cirrhosis of liver","437","20"
"J615z11","Macronodular cirrhosis of liver","140","9"
"A705000","Viral hepatitis C without mention of hepatic coma","1862","1"
"J614300","Recurrent hepatitis","21","0"
"J61y800","Nonalcoholic steatohepatitis","891","9"
"J61y400","Hepatic fibrosis","550","1"
"760F400","Rigid oesophagoscopic banding of oesophageal varices","214","0"
"J61..00","Cirrhosis and chronic liver disease","8575","202"
"J635300","Toxic liver disease with chronic persistent hepatitis","8","0"
"J612000","Alcoholic fibrosis and sclerosis of liver","139","1"
"J616200","Biliary cirrhosis of children","3","0"
"9NgR.00","On hepatitis C treatment plan","229","0"
"J61y300","Portal fibrosis without cirrhosis","39","0"
"J616.00","Biliary cirrhosis","2270","14"
"C350012","Pigmentary cirrhosis of liver","46","3"
"J62..00","Liver abscess and sequelae of chronic liver disease","271","6"
"J62z.00","Liver abscess and chronic liver disease causing sequelae NOS","1","0"
"Jyu7100","[X]Other and unspecified cirrhosis of liver","399","5"
"J615z00","Non-alcoholic cirrhosis NOS","663","6"
"ZV02600","[V]Viral hepatitis carrier","230","0"
"J615500","Hypertrophic portal cirrhosis","6","0"
"7609.00","Open operations on oesophageal varices","159","0"
"J615100","Multilobular portal cirrhosis","4","0"
"J617000","Chronic alcoholic hepatitis","149","2"
"760C500","Fibreoptic endoscopic banding of oesophageal varices","2166","0"
"ZV02C00","[V]Hepatitis C carrier","2188","3"
"G852300","Oesophageal varices in alcoholic cirrhosis of the liver","433","11"
"J635600","Toxic liver disease with fibrosis and cirrhosis of liver","31","0"
"Q48yz11","Congenital hepatic fibrosis","39","0"
"J614y00","Chronic hepatitis unspecified","57","0"
"G857.00","Gastric varices","662","1"
"J63X.00","Granulomatous hepatitis, not elsewhere classified","230","0"
"A707200","Chronic viral hepatitis C","3968","14"
"J614400","Chronic lobular hepatitis","28","0"
"J614000","Chronic persistent hepatitis","181","0"
"A707.00","Chronic viral hepatitis","194","0"
