"Code","Description","MedicalFrequency","AHDFrequency"
"P50..13","","0","0"
"P6y6.00","Heart and cardiac apex malposition","13","0"
"P50..12","Common truncus","2","0"
"P6yy100","","0","0"
"P543.00","Eisenmenger's complex","515","4"
"P50..11","Aortic septal defect","17","0"
"P65..00","Congenital mitral stenosis","52","0"
"P600.00","Pulmonary valve anomaly, unspecified","24","0"
"P602100","Congenital fusion of pulmonary valve segment","1","0"
"P73..00","Pulmonary artery anomalies","274","2"
"P6y3z00","Obstructive heart anomaly NEC NOS","6","0"
"P50z.00","Common aorto-pulmonary trunk NOS","2","0"
"P744.00","Portal vein - hepatic artery fistula","4","0"
"P511000","Double outlet right ventricle, unspecified","2","0"
"P6y1.00","Cor triatriatum","43","0"
"P6y3100","Right ventricular outflow tract obstruction","52","0"
"P721500","Persistent right aortic arch","12","0"
"P740000","Anomaly of the pulmonary veins, unspecified","5","0"
"P521.00","Pentalogy of Fallot","3","0"
"P6y6.11","Ectopic heart","112","0"
"P54y.00","Other specified ventricular septal defect","133","0"
"P56z000","Common atrium","40","0"
"P733.00","Coarctation of the pulmonary artery","16","0"
"Pyu2G00","[X]Congenital malformation of tricuspid valve, unspecified","3","0"
"P6z2.00","Acyanotic congenital heart disease NOS","47","0"
"P65..11","Duroziez's disease","1","0"
"P54..00","Ventricular septal defect","28333","16"
"P61z.00","Congenital tricuspid atresia or stenosis NOS","1","0"
"P6...00","Other congenital heart anomalies","716","3"
"Pyu2700","[X]Other congenital malformations of pulmonary artery","2","0"
"P6yyB00","Supernumerary heart valve cusps NEC","1","0"
"P6W..00","Congenital malformation of aortic and mitral valves unsp","47","0"
"P6y0.00","Subaortic stenosis","433","0"
"P74z700","Transposition of pulmonary veins","4","0"
"P611.00","Congenital tricuspid stenosis","8","0"
"P743.00","Anomalous portal vein termination","6","0"
"P6y4400","Anomalous coronary artery communication","11","0"
"24M..00","Spontaneous closure of ventricular septal defect","96","78"
"P720.00","Anomaly of aorta, unspecified","40","0"
"P722100","","0","0"
"P68..00","Congenital heart disease","328","2"
"P545.00","Roger's disease","33","0"
"P6yy200","Congenital cardiomegaly","32","0"
"P722z00","Atresia or stenosis of aorta NOS","62","0"
"P731.11","Congenital absence of pulmonary artery","4","0"
"P551.00","Patent foramen ovale","5551","0"
"P71z.00","Coarctation of aorta NOS","125","0"
"P6y4411","Congenital coronary arterio-venous fistula","11","0"
"P740100","Anomaly of the vena cava, unspecified","27","0"
"P721000","Anomalous origin of the aortic arch","3","0"
"P722211","","0","0"
"P736.11","Pulmonary arterio-venous fistula","16","0"
"P736.12","Pulmonary arterio-venous malformation","31","1"
"P63..00","Congenital aortic valve stenosis","4539","31"
"P740z00","","0","0"
"Pyu2H00","[X]Congenital malformation of aortic and mitral valves unsp","1","0"
"P65z.00","Congenital mitral stenosis NOS","3","0"
"P601000","Hypoplasia of pulmonary valve","27","0"
"P540.00","Ventricular septal defect, unspecified","292","0"
"P731.00","Pulmonary artery agenesis","8","0"
"P58..00","Double outlet left ventricle","39","0"
"P74z000","Absence of inferior vena cava","2","0"
"P6yyC00","Fusion of mitral valve cusps","3","0"
"P64..00","Congenital aortic valve insufficiency","78","0"
"Pyu2800","","0","0"
"P742.11","Anomalous termination of right pulmonary vein","5","0"
"P74z800","Atresia of pulmonary vein","35","0"
"P722000","","0","0"
"P6y4500","Congenital coronary aneurysm","8","0"
"P74..00","Anomalies of great veins","32","0"
"P6yy300","Congenital left ventricular diverticulum","14","0"
"P737.11","Dilatation of pulmonary artery","70","0"
"P6z1.00","Anomalous bands of heart","3","0"
"P6y6000","Dextrocardia","1302","2"
"P732.00","Pulmonary artery atresia","270","0"
"Pyu2000","[X]Other cong malformatn of cardiac chambers & connections","1","0"
"P511.00","Double outlet right ventricle","43","0"
"P601z00","Congenital atresia of pulmonary valve NOS","5","0"
"P6yyD11","Fusion of tricuspid valve cusps NEC","1","0"
"P610.00","Congenital tricuspid atresia","118","0"
"P53..00","Common ventricle","48","0"
"P550.11","Auricular septal defect NOS","24","0"
"P550.12","Interatrial septal defect NEC","29","0"
"P70..00","Patent ductus arteriosus","9516","0"
"P550.13","","0","0"
"P721700","Overriding aorta","1","0"
"P737.00","Pulmonary artery aneurysm","14","0"
"P6y5.00","Congenital heart block","270","1"
"P500.00","Absent septum between aorta and pulmonary artery","8","0"
"P6yy411","Congenital absence of pericardium","2","0"
"P6X..00","Congenital malformation of tricuspid valve, unspecified","23","0"
"33B8.00","Detection of cardiac shunt","15","0"
"P56z200","Common atrioventricular-type ventricular septal defect","330","1"
"P55y.00","Other specified ostium secundum atrial septal defect","70","0"
"P512.00","Corrected great vessel transposition","71","0"
"Pyu2900","","0","0"
"P74z100","Absence of superior vena cava","2","0"
"P6yyD00","Fusion of heart valve cusps NEC","1","0"
"P721211","Vascular ring","50","0"
"P722300","Stricture of aorta","6","0"
"P60z.00","Other pulmonary valve anomalies","17","0"
"P6y4600","Congenital stricture of coronary artery","2","0"
"P6y6z00","Heart or cardiac apex malposition NOS","5","0"
"P74zz00","Other great vein anomaly NOS","5","0"
"P712.11","","0","0"
"P735.11","Congenital stricture of pulmonary artery","2","0"
"P603.11","Pseudotruncus arteriosus","1","0"
"P712.12","Postductal interruption of aorta","1","0"
"P6y4.00","Coronary artery anomaly","316","75"
"P500.12","Truncus arteriosus","39","0"
"P52..00","Tetralogy of Fallot","2381","3"
"P6y6100","Levocardia","12","0"
"P650.00","Congenital mitral stenosis, unspecified","1","0"
"P6yy400","Congenital pericardial defect","15","0"
"P500.11","Persistent truncus arteriosus","2","0"
"P730.00","Pulmonary artery anomaly, unspecified","13","0"
"P60..00","Pulmonary valve anomalies","220","0"
"P541.00","Interventricular septal defect","47","0"
"Pyu2100","","0","0"
"P712.13","","0","0"
"P55y.11","Other specified atrial septal defect","256","0"
"P5...00","Bulbus cordis and cardiac septal closure anomalies","93","1"
"P72..11","Anomalies of the aorta excluding coarction","107","1"
"P742.00","Partial anomalous pulmonary venous return","20","0"
"P721200","Double aortic arch","61","0"
"P59..00","Isomerism of atrial appendages","65","0"
"P722411","Congenital stenosis of ascending aorta","3","1"
"P552.11","Patent ostium secundum","1","0"
"P64z.00","Congenital aortic valve insufficiency NOS","14","0"
"Pyu2J00","","0","0"
"P735.00","Stenosis of pulmonary artery","790","0"
"P6y6111","Laevocardia","1","0"
"P6z0.00","Unspecified anomaly of heart valve","87","0"
"P52z.00","Tetralogy of Fallot NOS","53","0"
"P56..00","Endocardial cushion defects","24","0"
"P6y..00","Other specified heart anomalies","588","0"
"P5z..00","Heart bulb or septal closure defects NOS","98","0"
"PK34.00","Situs inversus with levocardia","1","0"
"P74z200","Stenosis of inferior vena cava","13","0"
"L185.11","Congenital heart disease in pregnancy","5","0"
"P5...11","Cardiac septal defects","102","1"
"P552.00","Persistent ostium secundum","19","0"
"P5...13","Heart septal defects","188","0"
"P741.00","Total anomalous pulmonary venous return - TAPVR","68","0"
"P5...12","Congenital heart disease, septal and bulbar anomalies","356","2"
"P722200","Hypoplasia of aorta","40","0"
"P721111","Overriding aorta","8","0"
"P736.00","Pulmonary arterio-venous aneurysm","11","0"
"P713.00","Interruption of aortic arch","15","0"
"P6z1000","Anomalous atrial bands","2","0"
"P6y6200","Mesocardia","18","0"
"P6yy500","Congenital anomaly of myocardium","4","0"
"P501.00","Aortic septal defect","25","0"
"Pyu2200","[X]Other congenital malformations of pulmonary valve","2","0"
"P72z.00","Other anomalies of aorta NOS","38","0"
"P55z.00","Ostium secundum atrial septal defect NOS","84","0"
"P67..00","Hypoplastic left heart syndrome","309","3"
"P721100","Dextraposition of aorta","24","0"
"P6yy.12","Hypoplasia of heart NOS","39","0"
"P721z00","Aortic arch anomalies NOS","29","0"
"P603.00","Right hypoplastic heart syndrome","58","0"
"P6yy.11","Hypoplastic aortic orifice or valve","29","0"
"P713.11","Stenosis of aortic arch","33","0"
"P6yy.13","Congenital insufficiency of heart valve NEC","2","0"
"P60z000","Congenital insufficiency of the pulmonary valve","1","0"
"P6y5000","Congenital heart block, unspecified","6","0"
"P651.00","Fused commissure of the mitral valve","1","0"
"P501.11","Aortopulmonary window","28","0"
"P501.12","Aorticopulmonary septal defect","2","0"
"P71..00","Coarctation of aorta","4280","1"
"P74z300","Stenosis of superior vena cava","34","0"
"P51..00","Transposition of great vessels","789","0"
"P640.00","Congenital aortic valve insufficiency, unspecified","16","0"
"P6yy600","","0","0"
"P6y6300","Ectopia cordis","28","0"
"P722500","Atresia of aorta","13","0"
"66g..00","Congenital heart condition monitoring","422","0"
"P6yy.00","Other specified heart anomalies","52","0"
"P711.00","Preductal coarctation of aorta","1","0"
"P6y8.00","Congenital dextroposition of heart","13","0"
"P56y.00","","0","0"
"P734.00","Hypoplasia of the pulmonary artery","39","0"
"P602.00","Congenital pulmonary stenosis","983","0"
"P6z1100","Anomalous ventricular bands","7","0"
"P56z011","Cor triloculare biventriculare","10","0"
"P6y4000","Congenital absence of coronary artery","3","0"
"Pyu2300","","0","0"
"P6z1z00","","0","0"
"P560.00","","0","0"
"P511300","Taussig-Bing syndrome","8","1"
"P6y5z00","Congenital heart block NOS","5","0"
"P721400","","0","0"
"P61..00","Congenital tricuspid atresia and stenosis","94","0"
"P51z.00","Great vessel transposition NOS","36","0"
"P711.11","","0","0"
"P60z100","Fallot's trilogy","39","0"
"P6y5100","Congenital complete atrio-ventricular heart block","50","0"
"P6y3.00","Obstructive heart anomaly NEC","9","0"
"P502.00","Persistent truncus arteriosus","10","0"
"P711.12","","0","0"
"P60zz00","Other pulmonary valve anomaly NOS","10","0"
"P711.13","Preductal aortic stenosis","2","0"
"P6y4z00","Coronary artery anomaly NOS","80","10"
"9NiY.00","Did not attend congenital heart disease clinic","8","0"
"P74z400","","0","0"
"P72z111","Congenital dilatation of aorta","63","0"
"P6yy700","Atresia of heart valve NEC","10","0"
"P72..00","Other anomalies of aorta","73","0"
"P722400","Supra-valvular aortic stenosis","41","0"
"P6y4100","Single coronary artery","28","0"
"P6y6400","Abdominal heart","1","0"
"P51y.00","Other specified transposition of great vessels","12","0"
"P741000","Subdiaphragmatic total anomalous pulmonary venous return","3","0"
"P6z..11","Chiari's malformation","1268","0"
"P520.00","Tetralogy of Fallot, unspecified","39","0"
"P652.00","Parachute deformity of the mitral valve","23","0"
"P55..00","Ostium secundum atrial septal defect","2731","2"
"P5y..00","Other heart bulb and septal closure defect","9","0"
"P6y2.00","Pulmonary infundibular stenosis","1658","0"
"P502.11","Truncus arteriosus","71","0"
"Pyu2400","","0","0"
"P641.00","Bicuspid aortic valve","4938","1"
"P511200","","0","0"
"P72z000","Aneurysm of sinus of Valsalva","47","0"
"PK33.00","Complete situs inversus with dextrocardia","76","0"
"P6z3.11","Blue baby","129","1"
"P721300","Kommerell's diverticulum","9","0"
"P6y5200","Congenital incomplete atrio-ventricular heart block","1","0"
"P740.00","Anomaly of great veins, unspecified","25","0"
"P51y.11","Transposition of aorta","10","0"
"P553.00","Lutembacher's syndrome","6","0"
"P712.00","Postductal coarctation of aorta","5","0"
"P56z.00","Endocardial cushion defects NOS","7","0"
"P6z..00","Congenital heart anomaly NOS","1895","6"
"P73z.00","Pulmonary artery anomaly NOS","33","1"
"P66..00","Congenital mitral insufficiency","17","0"
"P60z200","","0","0"
"2126800","Ostium secundum atrial septal defect resolved","144","0"
"P542.00","Left ventricle to right atrial communication","5","0"
